image,rd,keyIdx,encSec,entropy,rH,rV,rD,r_avg,npcr,uaci
Mountain_512,4,5,0.285667899,7.999241628920589,0.0017007887118480232,-3.9285544310210925e-05,-0.007959197496862535,0.0032330905843402564,99.6203104654948,33.47340851827385
Mountain_512,4,6,0.284565137,7.999298038356038,0.009286309890989114,0.005426200118926164,-0.006272009140915844,0.006994839716943708,99.60962931315105,33.44616459865196
Mountain_512,4,7,0.287126576,7.999247834226995,-0.004182596875284717,-0.006836469947496478,0.001987890758160707,0.004335652526980634,99.60085550944011,33.51467955346201
Mountain_512,4,8,0.290115295,7.9992707517245805,-0.00184767418524458,0.00496061970090255,-0.0029760370714821058,0.0032614436525430783,99.6063232421875,33.422878489774824
Mountain_512,4,9,0.293899882,7.999278336279018,-0.002634407180381737,0.00607687159999453,0.0020853881563822284,0.0035988889789194986,99.61280822753906,33.53489744896982
Mountain_512,4,10,0.281981091,7.999284801154921,0.005036566800561177,-0.007179602076346863,-0.0004222305119547315,0.00421279979628759,99.61433410644531,33.443000145207826
Pepper_512,1,1,0.121709325,7.999221999276659,0.005662497060966438,0.011705931537707387,-0.0027200914732903383,0.0066961733573213875,97.35120137532552,32.700713911866835
Pepper_512,1,2,0.112089144,7.9992404676126325,0.01419149644184227,-0.010389031165290297,0.009342561933472182,0.011307696513534917,98.53986104329427,33.130104214537376
Pepper_512,1,3,0.130933412,7.999264578300392,0.0010723954562775462,-0.007070155292677043,-9.523628732698048e-05,0.0027459290120938565,63.9319101969401,21.52123594595716
Pepper_512,1,4,0.120552418,7.999273356049341,0.003780911127243216,-0.00027875128055136,-0.0028774438099050856,0.0023123687392332206,90.08026123046875,30.229925018510006
Pepper_512,1,5,0.122310235,7.999272623597425,0.00041179652734670176,-0.009293749090352734,0.005935147357420032,0.005213564325039823,51.66028340657552,17.37062591353273
Pepper_512,1,6,0.121793389,7.999265620469309,0.011888444823758039,-0.007275436895519659,0.002749289610044507,0.0073043904431074015,92.73999532063802,31.14528581207874
Pepper_512,1,7,0.118606182,7.999355009989458,-0.001327240912507877,0.001593044955039075,-0.0035324461274553673,0.002150910665000773,12.621053059895834,4.2281107185712825
Pepper_512,1,8,0.111881326,7.999318406600772,-0.0005879835743446421,0.00057890741409369,-0.005938389129112872,0.0023684267058504014,32.273101806640625,10.837274688521243
Pepper_512,1,9,0.127341616,7.999294747274916,-0.0086257508825829,0.005007459101555837,-0.011873241971488825,0.008502150651875854,33.3062489827474,11.173031376857383
Pepper_512,1,10,0.1291195,7.99929199241307,-0.007813112935551193,0.0034231296945081906,-0.00384002250694296,0.005025421712334115,16.066233317057293,5.380799037958283
Pepper_512,2,1,0.174241909,7.999301350449142,0.012621996379235547,-0.0014923123584961737,-0.011065801035622672,0.008393369924451465,99.60962931315105,33.444154527452255
Pepper_512,2,2,0.177859134,7.9992799461725035,0.005358890042585284,-0.0026732699433556564,-0.005985007168765277,0.004672389051568739,99.59500630696614,33.43851226607179
Pepper_512,2,3,0.177115162,7.999280368819046,-0.0061546953852467945,-0.006511801432927271,-0.015356592147401335,0.009341029655191799,99.61026509602864,33.4759775797526
Pepper_512,2,4,0.185232181,7.999308773568622,-0.004399715662211587,0.001978719443495426,-0.005391754421757396,0.003923396509154803,99.60568745930989,33.56382731518714
Pepper_512,2,5,0.176708201,7.99929713838594,-0.009307602786434254,0.00476855159318323,0.001089646060188022,0.005055266813268502,99.61802164713542,33.450092988855694
Pepper_512,2,6,0.155641022,7.999267510428022,0.006280630574047788,7.519453834727525e-05,-0.004612480754236858,0.003656101955543974,99.60110982259114,33.4397424436083
Pepper_512,2,7,0.160490995,7.999237519778141,0.0020795178504068625,0.0037808415554993952,-0.01400722039654581,0.006622526600817355,99.609375,33.43943776648029
Pepper_512,2,8,0.296018549,7.999289620583393,-0.010779003548595394,0.00146990759873485,0.004423506464145229,0.005557472537158491,99.60784912109375,33.42840655956393
