x,y,posMix,collisionProbabilityPct
281,39,143,0.8880615234375
331,39,67,0.8880615234375
381,39,191,0.8880615234375
431,39,91,0.8880615234375
481,39,143,0.8880615234375
19,40,170,0.7049560546875
69,40,92,0.6988525390625
119,40,198,0.7049560546875
169,40,216,0.6988525390625
219,40,66,0.7049560546875
269,40,52,0.6988525390625
319,40,46,0.7049560546875
369,40,128,0.6988525390625
419,40,186,0.7049560546875
469,40,172,0.6988525390625
7,41,47,0.8880615234375
57,41,199,0.8880615234375
107,41,39,0.8880615234375
157,41,143,0.8880615234375
207,41,159,0.8880615234375
257,41,39,0.8880615234375
307,41,103,0.8880615234375
357,41,127,0.8880615234375
407,41,239,0.8880615234375
457,41,7,0.8880615234375
507,41,103,0.8880615234375
45,42,164,0.6988525390625
95,42,110,0.7049560546875
145,42,216,0.6988525390625
195,42,138,0.7049560546875
245,42,236,0.6988525390625
295,42,86,0.7049560546875
345,42,32,0.6988525390625
395,42,114,0.7049560546875
445,42,148,0.6988525390625
495,42,190,0.7049560546875
33,43,87,0.8880615234375
83,43,139,0.8880615234375
133,43,231,0.8880615234375
183,43,163,0.8880615234375
233,43,167,0.8880615234375
283,43,235,0.8880615234375
333,43,87,0.8880615234375
383,43,147,0.8880615234375
433,43,23,0.8880615234375
483,43,235,0.8880615234375
21,44,92,0.6988525390625
71,44,174,0.7049560546875
121,44,128,0.6988525390625
171,44,34,0.7049560546875
221,44,68,0.6988525390625
271,44,22,0.7049560546875
321,44,248,0.6988525390625
371,44,26,0.7049560546875
421,44,44,0.6988525390625
471,44,254,0.7049560546875
9,45,207,0.8880615234375
59,45,247,0.8880615234375
109,45,87,0.8880615234375
159,45,79,0.8880615234375
209,45,63,0.8880615234375
259,45,183,0.8880615234375
309,45,183,0.8880615234375
359,45,63,0.8880615234375
409,45,207,0.8880615234375
459,45,23,0.8880615234375
509,45,119,0.8880615234375
47,46,102,0.7049560546875
97,46,192,0.6988525390625
147,46,42,0.7049560546875
197,46,252,0.6988525390625
247,46,158,0.7049560546875
297,46,184,0.6988525390625
347,46,34,0.7049560546875
397,46,84,0.6988525390625
447,46,86,0.7049560546875
497,46,16,0.6988525390625
35,47,227,0.8880615234375
85,47,47,0.8880615234375
135,47,155,0.8880615234375
185,47,223,0.8880615234375
235,47,211,0.8880615234375
285,47,175,0.8880615234375
335,47,251,0.8880615234375
385,47,31,0.8880615234375
435,47,131,0.8880615234375
485,47,143,0.8880615234375
23,48,70,0.7049560546875
73,48,152,0.6988525390625
123,48,226,0.7049560546875
173,48,228,0.6988525390625
223,48,190,0.7049560546875
273,48,240,0.6988525390625
323,48,74,0.7049560546875
373,48,236,0.6988525390625
423,48,54,0.7049560546875
473,48,8,0.6988525390625
11,49,23,0.8880615234375
61,49,159,0.8880615234375
111,49,159,0.8880615234375
161,49,199,0.8880615234375
211,49,119,0.8880615234375
261,49,111,0.8880615234375
311,49,175,0.8880615234375
361,49,39,0.8880615234375
411,49,247,0.8880615234375
461,49,191,0.8880615234375
511,49,255,0.8880615234375
49,50,184,0.6988525390625
99,50,154,0.7049560546875
149,50,12,0.6988525390625
199,50,246,0.7049560546875
249,50,240,0.6988525390625
299,50,114,0.7049560546875
349,50,132,0.6988525390625
399,50,174,0.7049560546875
449,50,168,0.6988525390625
499,50,234,0.7049560546875
37,51,199,0.8880615234375
87,51,51,0.8880615234375
137,51,231,0.8880615234375
187,51,107,0.8880615234375
237,51,23,0.8880615234375
287,51,35,0.8880615234375
337,51,183,0.8880615234375
387,51,203,0.8880615234375
437,51,167,0.8880615234375
487,51,179,0.8880615234375
25,52,112,0.6988525390625
75,52,66,0.7049560546875
125,52,116,0.6988525390625
175,52,54,0.7049560546875
225,52,120,0.6988525390625
275,52,202,0.7049560546875
325,52,76,0.6988525390625
375,52,206,0.7049560546875
425,52,192,0.6988525390625
475,52,82,0.7049560546875
13,53,247,0.8880615234375
63,53,239,0.8880615234375
113,53,175,0.8880615234375
163,53,39,0.8880615234375
213,53,119,0.8880615234375
263,53,191,0.8880615234375
313,53,127,0.8880615234375
363,53,135,0.8880615234375
413,53,23,0.8880615234375
463,53,239,0.8880615234375
1,54,48,0.6988525390625
51,54,186,0.7049560546875
101,54,188,0.6988525390625
151,54,206,0.7049560546875
201,54,152,0.6988525390625
251,54,98,0.7049560546875
301,54,164,0.6988525390625
351,54,86,0.7049560546875
401,54,128,0.6988525390625
451,54,170,0.7049560546875
501,54,204,0.6988525390625
39,55,187,0.8880615234375
89,55,143,0.8880615234375
139,55,35,0.8880615234375
189,55,223,0.8880615234375
239,55,219,0.8880615234375
289,55,15,0.8880615234375
339,55,179,0.8880615234375
389,55,31,0.8880615234375
439,55,123,0.8880615234375
489,55,47,0.8880615234375
27,56,130,0.7049560546875
77,56,116,0.6988525390625
127,56,46,0.7049560546875
177,56,32,0.6988525390625
227,56,154,0.7049560546875
277,56,140,0.6988525390625
327,56,246,0.7049560546875
377,56,104,0.6988525390625
427,56,82,0.7049560546875
477,56,4,0.6988525390625
15,57,223,0.8880615234375
65,57,231,0.8880615234375
115,57,135,0.8880615234375
165,57,159,0.8880615234375
215,57,207,0.8880615234375
265,57,71,0.8880615234375
315,57,199,0.8880615234375
